Metric_ID,Portfolio_ID,Date,ROI,Volatility
1,45,2023-09-12,95.9,19.95
2,43,2024-09-04,108.2,30.61
3,48,2024-01-30,25.4,30.54
4,13,2024-04-16,4.3,11.72
5,22,2022-10-20,47.2,32.95
6,5,2022-02-20,65.7,15.59
7,41,2024-10-13,3.5,28.65
8,33,2022-03-15,107.1,12.59
9,49,2022-04-15,59.2,18.57
10,24,2022-09-26,73.0,29.05
11,6,2022-03-12,134.3,32.31
12,12,2024-05-06,70.7,24.82
13,31,2024-09-09,33.3,32.24
14,46,2022-01-30,12.3,30.08
15,32,2022-09-23,112.0,27.72
16,19,2024-11-15,127.8,31.28
17,39,2022-08-06,127.4,18.16
18,32,2022-02-03,68.1,18.43
19,28,2024-04-27,125.4,17.69
20,15,2023-07-06,5.1,23.61
21,3,2022-03-08,135.4,17.78
22,39,2023-08-06,147.8,27.26
23,36,2023-09-13,93.1,30.28
24,11,2024-07-19,119.4,9.84
25,36,2024-04-08,80.6,19.68
26,6,2024-08-13,140.1,13.11
27,41,2022-01-27,51.2,20.36
28,35,2023-02-03,31.1,29.7
29,30,2023-03-21,143.6,16.38
30,50,2024-01-22,92.1,9.29
31,12,2022-06-16,142.3,16.0
32,7,2023-12-10,108.4,16.15
33,11,2024-02-02,9.2,17.73
34,4,2024-06-01,31.7,19.18
35,8,2023-06-27,90.0,5.89
36,31,2024-05-15,56.8,9.52
37,18,2024-11-18,16.0,7.92
38,40,2024-09-14,52.5,6.43
39,36,2022-05-03,143.6,24.96
40,43,2024-02-03,20.3,7.18
41,29,2023-01-31,90.6,31.15
42,34,2022-03-15,20.1,30.14
43,2,2022-02-19,105.1,34.23
44,35,2024-02-06,130.9,20.52
45,21,2023-11-20,96.0,30.98
46,7,2023-11-03,3.4,33.23
47,23,2024-05-10,81.8,34.85
48,13,2022-12-06,77.3,14.63
49,34,2023-01-24,72.2,23.03
50,43,2023-11-03,102.5,28.18
51,24,2022-07-11,18.8,24.65
52,31,2024-04-24,137.9,34.27
53,30,2022-04-12,45.8,17.18
54,23,2023-08-24,124.9,17.09
55,39,2024-11-07,84.6,29.55
56,44,2022-03-31,111.0,13.36
57,5,2022-07-28,133.9,32.62
58,38,2024-05-17,43.4,12.42
59,7,2024-01-24,100.5,25.25
60,29,2022-09-11,127.4,33.49
61,35,2023-10-05,141.9,30.55
62,43,2023-03-15,99.0,7.13
63,36,2023-01-25,10.5,30.0
64,18,2023-01-20,144.6,8.74
65,23,2022-05-06,53.1,22.9
66,15,2024-05-12,72.4,33.46
67,47,2023-04-22,33.8,33.76
68,15,2024-06-25,109.2,21.58
69,5,2023-10-02,68.7,5.95
70,42,2024-10-13,16.7,23.81
71,38,2023-01-31,61.0,17.04
72,10,2022-06-22,143.7,19.53
73,12,2024-08-26,136.5,29.34
74,19,2024-06-23,75.1,30.39
75,37,2024-06-12,18.2,15.41
76,4,2022-02-22,127.6,27.79
77,11,2022-06-06,94.1,24.93
78,13,2022-10-21,58.9,24.43
79,18,2022-03-09,6.9,5.68
80,29,2024-07-19,35.3,6.0
81,39,2024-04-26,7.8,24.56
82,48,2023-01-24,22.4,27.45
83,22,2022-11-16,73.4,13.66
84,10,2022-05-30,84.0,33.89
85,28,2023-09-10,62.7,19.09
86,23,2024-07-23,145.5,11.77
87,12,2023-12-15,128.8,12.44
88,21,2023-09-30,83.2,5.37
89,5,2024-04-04,5.0,30.3
90,17,2023-06-30,101.5,17.93
91,40,2024-04-06,69.3,26.14
92,49,2024-10-10,146.6,20.93
93,20,2023-08-17,125.7,15.33
94,16,2022-03-02,139.2,14.34
95,43,2023-09-09,12.1,18.38
96,42,2022-08-21,65.5,19.31
97,18,2024-10-30,31.1,21.58
98,1,2022-12-27,16.9,6.55
99,30,2024-03-25,133.4,9.0
100,45,2022-02-05,108.5,15.03
101,25,2022-11-01,54.1,29.23
102,15,2023-05-27,5.7,28.82
103,16,2022-10-24,7.1,25.27
104,2,2022-08-22,37.0,14.05
105,17,2023-09-07,131.3,20.9
106,35,2022-04-17,81.3,11.14
107,39,2024-07-17,107.0,17.84
108,45,2024-11-13,114.6,30.92
109,17,2022-07-21,139.3,24.89
110,4,2023-05-21,82.8,19.62
111,3,2023-07-22,41.0,29.18
112,47,2024-04-03,131.0,31.2
113,18,2023-05-01,64.2,32.14
114,32,2022-11-20,103.7,15.99
115,25,2022-09-21,47.6,29.95
116,46,2023-05-17,77.8,30.06
117,47,2023-06-20,42.9,30.18
118,41,2022-12-04,100.8,18.89
119,16,2023-05-15,98.2,22.25
120,19,2022-03-15,39.6,33.91
121,42,2022-02-15,50.8,22.33
122,25,2024-07-18,23.6,7.73
123,48,2022-08-02,57.9,5.51
124,14,2022-03-26,96.7,27.48
125,19,2023-04-20,58.6,35.0
126,33,2023-10-02,50.4,30.35
127,49,2024-06-20,54.1,10.01
128,13,2024-03-14,27.3,5.56
129,5,2024-07-23,60.8,5.73
130,9,2023-08-02,0.3,12.51
131,23,2022-07-10,48.5,17.64
132,43,2024-01-11,147.5,30.59
133,14,2022-07-09,140.4,14.99
134,32,2022-09-22,67.8,18.06
135,30,2022-07-02,26.6,6.27
136,1,2024-04-24,98.8,32.17
137,35,2024-04-21,107.0,24.51
138,8,2023-07-11,86.7,8.84
139,10,2023-05-02,46.9,9.26
140,50,2022-04-30,6.2,17.51
141,28,2022-03-09,55.0,27.35
142,31,2024-09-20,22.3,23.18
143,4,2023-11-25,105.9,15.51
144,33,2023-01-12,79.6,9.07
145,41,2022-12-03,113.9,29.58
146,38,2023-03-06,113.5,18.68
147,46,2023-04-21,110.1,10.93
148,43,2024-10-06,74.7,19.51
149,5,2023-03-10,123.2,5.35
150,7,2022-11-27,19.2,31.95
151,37,2024-09-20,7.7,17.69
152,2,2023-11-30,23.6,27.3
153,12,2022-09-23,64.3,5.51
154,42,2023-10-17,98.6,15.88
155,20,2022-12-09,48.6,25.8
156,14,2024-11-01,78.9,27.64
157,41,2023-08-18,77.9,19.29
158,23,2024-02-16,92.5,13.25
159,10,2022-06-11,22.0,28.05
160,35,2023-03-04,94.5,17.65
161,42,2022-10-13,23.7,11.98
162,35,2024-08-24,48.0,34.09
163,40,2024-05-26,135.3,8.78
164,50,2023-06-04,133.9,14.04
165,37,2023-12-30,27.6,32.95
166,3,2023-03-04,83.6,27.58
167,23,2023-11-28,92.2,12.61
168,48,2023-06-08,25.1,23.37
169,12,2023-12-11,97.5,13.85
170,26,2023-05-26,122.0,8.75
171,37,2022-06-17,16.3,29.21
172,8,2023-01-24,97.1,26.41
173,34,2024-04-14,143.5,31.67
174,10,2023-04-01,14.1,26.23
175,28,2023-12-10,101.2,17.92
176,13,2022-06-22,42.8,16.7
177,12,2023-09-20,89.5,10.63
178,5,2022-08-01,95.2,27.33
179,38,2024-07-09,87.1,12.27
180,9,2022-05-26,38.0,32.8
181,32,2023-02-14,125.8,19.57
182,48,2024-06-05,8.5,21.79
183,20,2022-05-12,127.5,12.83
184,50,2023-02-19,56.0,5.47
185,28,2023-05-12,0.3,5.16
186,10,2023-10-21,66.4,27.01
187,44,2023-10-15,92.6,24.14
188,49,2024-04-16,120.5,23.53
189,4,2024-06-06,15.8,34.66
190,39,2024-11-05,105.0,19.51
191,25,2024-03-18,83.3,16.41
192,47,2023-02-02,88.3,12.86
193,23,2023-11-08,139.5,33.13
194,22,2022-07-11,132.2,20.84
195,44,2024-02-16,81.7,15.04
196,12,2023-09-03,127.5,20.58
197,38,2022-12-13,116.2,29.7
198,11,2022-11-06,105.8,9.12
199,43,2023-06-15,142.7,7.28
200,15,2024-10-30,137.7,20.08
201,40,2023-11-06,22.2,16.68
202,33,2022-05-16,73.4,17.29
203,21,2024-05-06,71.7,15.69
204,34,2023-04-15,38.2,11.55
205,8,2024-09-04,75.7,16.99
206,31,2023-10-11,120.9,13.29
207,49,2024-09-04,78.1,10.97
208,48,2022-09-19,31.2,13.61
209,30,2022-06-23,66.2,27.96
210,34,2022-05-16,73.3,24.81
211,27,2022-09-14,73.4,8.15
212,38,2022-06-22,126.7,8.69
213,20,2024-10-05,1.4,18.36
214,23,2022-05-30,94.3,23.36
215,24,2024-04-02,145.4,24.92
216,16,2024-11-11,114.0,23.34
217,47,2024-02-19,52.5,14.56
218,20,2024-08-17,99.6,6.0
219,17,2023-07-18,145.4,21.46
220,31,2024-02-13,34.1,6.85
221,6,2023-06-29,5.2,30.18
222,24,2023-08-16,52.7,23.42
223,13,2023-07-14,141.7,25.27
224,47,2024-04-03,131.2,17.74
225,24,2023-07-10,29.3,11.0
226,30,2023-04-24,13.3,13.21
227,31,2022-06-11,1.1,12.85
228,17,2023-09-09,64.2,15.7
229,10,2024-06-04,146.3,22.3
230,49,2024-04-11,136.5,18.99
231,17,2024-08-18,118.2,14.74
232,31,2024-10-03,55.3,28.5
233,20,2023-04-07,5.5,10.74
234,41,2022-09-10,92.0,7.85
235,17,2023-06-19,139.8,17.77
236,49,2024-06-05,66.1,15.83
237,39,2024-05-26,127.8,30.7
238,44,2022-11-26,12.5,28.63
239,44,2022-09-06,93.4,30.92
240,18,2023-04-23,106.3,6.07
241,4,2023-08-08,121.0,30.33
242,16,2024-11-13,90.4,13.89
243,49,2022-07-12,43.6,33.42
244,16,2024-10-23,19.9,31.48
245,24,2023-09-06,143.4,28.48
246,15,2024-10-28,22.9,20.98
247,29,2023-10-14,135.7,25.14
248,5,2024-11-09,74.8,7.65
249,34,2023-05-29,26.3,22.36
250,34,2023-06-29,144.2,18.26
251,50,2024-02-09,130.9,18.62
252,29,2024-03-25,66.7,30.01
253,28,2023-09-03,110.3,24.68
254,2,2022-08-16,136.1,31.64
255,49,2022-07-10,76.2,25.07
256,26,2024-01-07,51.4,32.52
257,48,2023-07-15,97.9,34.13
258,19,2024-11-23,48.5,10.25
259,43,2022-10-05,63.1,23.12
260,15,2022-05-18,23.5,23.84
261,9,2022-04-23,28.5,31.97
262,12,2024-11-06,120.3,29.94
263,7,2022-03-12,64.0,25.79
264,26,2022-04-24,82.1,17.49
265,10,2024-02-24,69.4,19.98
266,41,2023-04-17,148.6,5.8
267,8,2023-09-02,132.0,11.0
268,3,2023-06-16,27.9,20.45
269,31,2022-03-31,26.4,21.34
270,4,2023-09-13,96.3,6.54
271,36,2023-08-14,57.7,19.07
272,27,2024-10-29,111.8,28.66
273,36,2022-07-13,106.4,19.92
274,29,2023-03-02,56.5,22.44
275,25,2024-03-27,41.1,27.45
276,44,2024-08-19,78.7,25.64
277,35,2023-07-25,140.3,26.03
278,33,2022-05-12,3.8,18.69
279,39,2023-05-07,40.6,12.77
280,17,2022-05-29,97.8,5.88
281,7,2022-03-19,123.9,23.75
282,17,2024-03-30,69.1,9.63
283,30,2024-04-04,12.8,15.54
284,9,2024-10-22,31.7,12.25
285,7,2024-07-25,63.9,7.27
286,7,2023-08-26,27.0,12.79
287,13,2023-04-28,9.5,27.83
288,22,2023-07-16,127.5,10.06
289,24,2024-06-17,13.8,9.88
290,4,2022-10-31,20.4,20.23
291,23,2023-03-24,41.1,15.8
292,6,2022-06-11,117.6,7.27
293,10,2024-06-14,6.4,27.45
294,26,2023-05-09,84.5,21.86
295,8,2023-06-08,93.4,29.18
296,31,2024-09-16,96.1,12.08
297,47,2022-05-02,48.5,32.96
298,6,2024-07-04,53.0,16.3
299,4,2023-10-12,40.3,34.1
300,46,2022-06-23,30.5,34.14
301,7,2022-06-23,5.8,5.35
302,21,2022-07-14,135.1,17.83
303,45,2023-09-27,61.4,34.34
304,49,2024-09-09,71.1,12.41
305,50,2022-10-30,55.2,8.69
306,29,2023-11-02,63.4,34.57
307,4,2022-06-03,86.6,28.31
308,4,2022-02-13,120.4,31.3
309,19,2022-03-07,96.9,21.58
310,50,2022-09-03,25.4,29.0
311,41,2023-02-21,34.6,34.1
312,36,2023-07-09,37.8,31.98
313,33,2023-07-20,99.4,18.94
314,41,2022-07-23,63.0,28.44
315,30,2024-07-09,107.8,29.81
316,7,2023-05-10,42.9,23.87
317,40,2023-04-05,106.8,8.12
318,6,2023-06-29,40.7,25.11
319,33,2023-01-13,141.6,21.25
320,2,2023-04-30,27.0,22.83
321,39,2024-02-08,143.7,13.73
322,46,2024-01-17,43.0,19.09
323,38,2023-07-18,12.5,17.01
324,29,2022-06-12,81.6,24.92
325,7,2023-03-10,0.6,23.69
326,32,2023-08-23,140.4,22.19
327,25,2023-07-28,34.0,30.98
328,21,2023-12-15,12.7,26.19
329,1,2024-09-05,127.7,30.92
330,47,2023-07-10,77.3,24.64
331,21,2024-03-11,85.1,30.59
332,40,2022-04-15,136.0,8.37
333,6,2023-03-29,42.8,25.89
334,19,2024-09-09,9.0,34.04
335,46,2022-05-29,85.5,26.5
336,22,2023-07-14,90.8,5.94
337,2,2023-04-05,18.9,23.03
338,45,2023-02-11,134.0,18.82
339,47,2022-07-29,41.8,14.91
340,8,2023-01-01,65.3,25.8
341,17,2024-05-27,36.0,9.27
342,5,2024-08-29,99.3,33.01
343,4,2024-01-21,4.6,11.84
344,18,2023-05-27,112.6,6.01
345,31,2024-11-15,30.0,6.67
346,43,2023-06-27,98.5,21.88
347,22,2023-03-04,144.1,32.29
348,25,2024-06-07,103.0,33.13
349,19,2023-10-25,114.4,12.19
350,25,2022-12-25,126.6,26.8
351,28,2022-12-16,46.7,22.08
352,34,2024-07-18,9.6,25.75
353,37,2024-06-09,43.8,17.47
354,6,2022-04-04,6.7,15.6
355,35,2022-07-01,15.6,27.6
356,28,2023-02-15,96.0,21.82
357,10,2023-09-29,71.9,19.88
358,10,2022-09-08,0.6,17.69
359,11,2023-02-27,40.2,33.36
360,34,2024-08-16,115.3,30.85
361,34,2024-07-01,37.5,18.31
362,31,2022-05-05,61.5,25.59
363,18,2023-06-19,29.4,11.48
364,14,2023-02-12,111.2,7.63
365,4,2023-12-24,103.2,15.58
366,24,2024-11-06,128.6,22.75
367,30,2024-05-17,64.8,16.21
368,40,2022-09-17,29.2,33.37
369,45,2024-03-06,83.5,29.13
370,44,2023-01-04,43.2,33.51
371,2,2023-07-14,96.8,10.03
372,4,2024-02-02,75.9,18.84
373,44,2024-03-06,135.9,26.28
374,17,2024-11-20,43.3,12.21
375,9,2022-08-02,140.1,24.96
376,45,2022-11-16,112.2,19.86
377,11,2024-11-21,128.3,33.51
378,4,2022-05-11,22.7,16.61
379,32,2023-02-11,95.9,13.48
380,27,2024-03-01,146.9,20.57
381,8,2022-07-11,100.4,13.39
382,1,2022-08-08,71.9,5.06
383,27,2022-02-09,50.6,10.89
384,42,2022-02-28,89.5,26.03
385,44,2023-03-12,81.4,7.62
386,42,2022-07-16,61.4,22.82
387,7,2022-10-22,100.7,24.83
388,1,2023-02-05,93.3,7.87
389,50,2022-06-08,19.3,24.56
390,42,2024-07-12,122.8,5.49
391,45,2024-01-02,61.6,31.19
392,2,2024-08-09,40.1,13.8
393,47,2023-06-15,128.1,29.8
394,2,2024-11-23,83.5,14.3
395,23,2024-03-09,128.0,11.78
396,36,2022-04-12,85.8,16.82
397,14,2022-05-22,99.0,18.96
398,26,2024-07-12,104.3,22.09
399,27,2023-08-18,60.5,7.84
400,16,2024-03-02,49.5,5.32
401,49,2023-10-01,90.0,21.05
402,37,2022-07-25,99.2,26.89
403,30,2022-05-04,146.9,30.97
404,22,2023-04-27,138.4,20.54
405,19,2024-01-25,27.8,31.53
406,36,2024-03-11,50.5,15.17
407,28,2023-10-24,40.7,12.72
408,25,2023-07-12,83.8,6.66
409,10,2024-07-06,5.4,26.17
410,34,2022-06-11,76.3,30.51
411,34,2022-01-25,53.1,10.31
412,49,2023-02-14,88.6,10.02
413,36,2022-11-06,54.0,6.12
414,24,2022-01-30,105.9,20.79
415,33,2023-07-10,126.7,12.56
416,26,2023-12-25,110.5,21.07
417,6,2022-06-11,147.0,25.77
418,29,2024-08-20,148.2,20.46
419,35,2024-09-13,122.6,25.05
420,6,2024-09-19,100.5,23.26
421,33,2023-07-08,49.0,29.85
422,18,2022-03-15,87.7,34.53
423,29,2022-05-07,48.1,7.72
424,41,2024-09-18,34.9,31.48
425,42,2022-09-13,135.2,17.83
426,44,2023-02-15,107.5,12.8
427,36,2024-07-19,135.4,18.57
428,36,2024-09-09,128.5,24.86
429,3,2022-12-30,131.7,6.07
430,34,2023-07-28,52.2,19.28
431,47,2024-11-04,87.2,9.13
432,13,2022-08-19,135.7,33.23
433,5,2023-12-12,7.1,9.9
434,47,2022-07-15,24.6,19.2
435,40,2023-11-02,96.9,8.92
436,19,2022-07-05,131.5,19.73
437,26,2022-07-08,100.3,23.45
438,40,2024-06-05,143.3,9.31
439,13,2022-06-07,45.8,29.86
440,11,2023-12-27,32.4,22.72
441,44,2022-10-15,130.3,25.04
442,32,2023-07-15,44.5,9.77
443,39,2024-01-25,130.1,16.18
444,6,2023-04-02,9.1,19.97
445,33,2024-06-25,64.2,19.98
446,6,2023-10-23,108.0,8.48
447,34,2023-08-03,43.8,7.32
448,44,2022-02-13,41.5,19.87
449,35,2023-09-06,84.2,7.84
450,32,2023-10-18,58.2,33.72
451,23,2022-07-26,74.3,8.38
452,27,2024-05-26,54.1,27.2
453,42,2022-10-06,106.7,13.44
454,38,2022-02-12,145.3,7.11
455,48,2024-08-16,47.5,15.97
456,27,2024-04-17,17.4,13.53
457,40,2024-06-04,20.1,14.84
458,36,2022-09-19,23.7,19.32
459,14,2022-07-11,8.0,9.81
460,4,2022-08-22,67.2,32.01
461,17,2023-01-15,107.8,27.24
462,38,2022-07-06,62.6,23.77
463,6,2024-08-13,35.6,14.64
464,19,2023-11-02,43.4,10.32
465,32,2024-06-28,54.0,19.26
466,18,2022-09-23,67.4,25.26
467,15,2023-07-07,49.2,20.58
468,1,2024-08-11,102.6,33.42
469,10,2022-02-06,45.7,19.33
470,26,2024-03-19,8.3,31.13
471,5,2022-10-18,101.4,6.41
472,38,2022-08-30,121.0,21.58
473,28,2024-07-06,85.0,25.4
474,20,2023-01-26,43.5,26.22
475,20,2024-08-29,42.0,11.59
476,35,2023-03-04,40.8,6.35
477,8,2023-07-29,39.0,29.94
478,21,2023-08-29,74.9,25.76
479,46,2023-04-17,16.6,19.06
480,33,2024-09-27,64.6,34.02
481,20,2023-04-11,91.6,8.44
482,9,2022-12-15,135.7,32.37
483,24,2024-03-30,71.6,32.07
484,25,2022-05-08,76.8,14.21
485,44,2023-09-25,95.9,13.64
486,22,2024-09-17,130.0,20.08
487,40,2022-07-22,149.5,10.19
488,26,2024-02-10,5.8,23.96
489,1,2023-06-23,60.9,10.21
490,46,2023-02-02,49.8,33.18
491,29,2023-04-26,83.3,32.21
492,31,2022-06-13,65.1,33.07
493,50,2023-10-07,34.3,30.51
494,2,2022-10-11,23.4,15.28
495,32,2023-07-12,74.5,33.01
496,8,2024-04-12,119.3,7.22
497,37,2022-10-29,46.1,32.03
498,4,2024-09-21,91.4,6.15
499,24,2024-06-12,70.8,26.09
500,11,2023-12-04,31.4,11.39
501,25,2024-05-19,67.1,17.93
502,23,2022-11-23,55.3,18.35
503,36,2023-04-04,39.9,15.79
504,22,2023-08-01,143.9,17.98
505,41,2023-03-26,88.6,20.01
506,35,2022-07-19,94.4,23.56
507,4,2024-05-17,139.5,22.8
508,9,2023-03-23,4.3,28.1
509,21,2024-08-22,61.1,33.66
510,9,2023-06-27,6.0,8.15
511,24,2022-05-21,80.3,16.27
512,9,2022-11-19,144.1,5.83
513,44,2024-04-17,97.9,20.34
514,30,2022-10-04,109.2,29.08
515,20,2022-03-03,108.0,26.98
516,37,2022-04-04,16.7,23.66
517,18,2023-01-10,65.1,16.32
518,45,2024-10-16,75.6,24.84
519,43,2024-01-20,108.5,34.3
520,9,2022-03-03,121.0,11.27
521,35,2024-10-27,19.0,13.55
522,26,2023-05-02,44.2,12.38
523,15,2024-06-11,69.5,13.46
524,6,2024-10-29,80.6,25.71
525,30,2022-10-14,33.3,22.38
526,14,2023-02-07,53.0,32.13
527,26,2022-03-15,3.5,31.28
528,9,2023-01-01,20.7,6.99
529,44,2022-05-20,10.7,20.39
530,48,2022-11-28,33.3,27.44
531,19,2024-05-02,132.7,17.22
532,44,2023-03-19,59.3,12.08
533,31,2022-03-26,112.5,32.7
534,2,2024-09-04,2.2,11.59
535,12,2024-06-28,117.4,25.59
536,17,2024-11-10,120.5,29.18
537,9,2022-12-29,58.8,7.68
538,34,2024-10-21,7.0,14.25
539,48,2023-10-30,69.3,14.07
540,34,2022-08-21,14.0,27.41
541,49,2024-10-15,13.4,6.54
542,20,2024-07-16,57.4,25.87
543,15,2023-11-14,13.9,11.68
544,13,2023-05-11,72.1,22.21
545,38,2022-02-05,141.5,31.15
546,12,2024-05-10,19.0,8.65
547,20,2023-08-25,125.5,33.7
548,33,2022-06-22,100.2,20.41
549,28,2022-02-27,68.3,11.74
550,35,2023-04-16,91.2,33.29
551,19,2024-01-21,125.6,32.89
552,19,2023-09-23,114.9,25.04
553,44,2023-05-10,29.7,34.09
554,15,2024-07-29,76.4,9.55
555,22,2022-07-30,18.9,34.51
556,16,2022-11-18,133.2,23.18
557,22,2022-04-26,146.1,10.75
558,41,2022-09-30,84.7,30.8
559,6,2022-06-27,39.3,24.75
560,21,2022-12-27,136.6,34.68
561,28,2023-06-04,14.6,6.35
562,2,2023-04-28,77.1,26.76
563,47,2024-07-03,13.2,33.51
564,19,2024-07-22,64.2,23.86
565,9,2023-03-24,27.0,23.48
566,35,2023-03-10,42.8,25.28
567,16,2023-12-12,29.8,13.99
568,41,2022-06-01,26.8,8.48
569,50,2024-04-02,38.0,33.9
570,7,2023-07-08,45.9,23.68
571,41,2024-04-14,130.3,13.7
572,23,2024-01-01,33.6,26.96
573,25,2024-05-20,35.2,27.52
574,23,2023-10-11,37.6,8.4
575,14,2022-05-08,24.5,8.41
576,18,2024-09-13,100.2,15.88
577,35,2023-08-01,56.0,30.54
578,24,2022-05-06,82.8,16.77
579,37,2023-04-17,63.3,21.19
580,19,2023-03-21,106.6,28.96
581,2,2023-10-18,80.1,28.19
582,19,2023-10-04,11.6,32.51
583,23,2023-02-17,24.7,7.07
584,35,2023-03-10,144.3,6.0
585,25,2024-11-19,110.4,17.02
586,35,2024-02-22,9.6,27.52
587,4,2024-10-14,65.6,34.42
588,18,2023-06-18,5.0,16.89
589,8,2023-10-27,55.4,15.94
590,8,2024-06-10,77.3,21.13
591,46,2023-01-27,131.0,22.81
592,39,2022-11-21,138.9,10.81
593,50,2024-05-03,64.0,14.85
594,2,2024-09-14,8.2,11.69
595,1,2022-04-12,139.6,5.91
596,8,2024-01-31,83.1,25.81
597,38,2024-05-02,31.3,11.01
598,16,2022-10-14,10.8,25.03
599,33,2022-02-17,62.2,24.47
600,15,2023-07-24,18.2,5.45
